instance      b1  b2  rep value     t       it        
bqp100-1      18  2   16  -7904     13.06   26329     
bqp100-1      18  2   17  -7928     15.45   31770     
bqp100-1      18  2   18  -7928     17.72   33670     
bqp100-1      18  2   19  -7898     11.73   25977     
bqp100-1      18  2   20  -7904     15.48   30228     
bqp100-1      18  2   21  -7928     16.66   32851     
bqp100-1      18  2   22  -7970     17.31   34389     
bqp100-1      18  2   23  -7898     13.29   27018     
bqp100-1      18  2   24  -7850     14.73   34186     
bqp100-1      18  2   25  -7928     17.25   32059     
bqp100-1      18  2   26  -7896     11.00   27818     
bqp100-1      18  2   27  -7898     16.31   31592     
bqp100-1      18  2   28  -7970     21.33   30550     
bqp100-1      18  2   29  -7898     15.62   32681     
bqp100-1      18  2   30  -7918     21.49   39670     
bqp250-1      2   18  1   -45607    19.65   67097     
bqp250-1      2   18  2   -45249    16.90   58542     
bqp250-1      2   18  3   -45559    16.45   54312     
bqp250-1      2   18  4   -45583    16.66   55830     
bqp250-1      2   18  5   -45470    16.15   54536     
bqp250-1      2   18  6   -45579    17.98   60930     
bqp250-1      2   18  7   -45579    16.89   56444     
bqp250-1      2   18  8   -45607    16.45   54625     
bqp250-1      2   18  9   -45565    18.33   59899     
bqp250-1      2   18  10  -45536    17.03   55641     
bqp250-1      2   18  11  -45512    17.02   55143     
bqp250-1      2   18  12  -45583    16.90   55839     
bqp250-1      2   18  13  -45261    16.29   54981     
bqp250-1      2   18  14  -45579    16.39   55159     
bqp250-1      2   18  15  -45391    16.38   54107     
